pathway_type,stage,date,n_in_stage_mean,n_in_stage_sd
BASELINE,biopmdt_to_biopsy,2026-02-13,1.6666666666666667,1.2410599844719314
BASELINE,biopmdt_to_biopsy,2026-02-14,1.8,1.2148506364839742
BASELINE,biopmdt_to_biopsy,2026-02-15,1.8666666666666667,1.2521246311585852
BASELINE,biopmdt_to_biopsy,2026-02-16,1.9333333333333333,1.2298957997167563
BASELINE,biopmdt_to_biopsy,2026-02-17,2.066666666666667,1.3373502709187435
BASELINE,biopmdt_to_biopsy,2026-02-18,2.1,1.4703975535606828
BASELINE,biopmdt_to_biopsy,2026-02-19,2.2666666666666666,1.552158304522722
BASELINE,biopmdt_to_biopsy,2026-02-20,2.5,1.6557111192308964
BASELINE,biopmdt_to_biopsy,2026-02-21,2.433333333333333,1.6333450621206844
BASELINE,biopmdt_to_biopsy,2026-02-22,2.466666666666667,1.6965143440419919
BASELINE,biopmdt_to_biopsy,2026-02-23,2.6,1.734040527705203
BASELINE,biopmdt_to_biopsy,2026-02-24,2.7666666666666666,1.7749858344909908
BASELINE,biopmdt_to_biopsy,2026-02-25,2.933333333333333,1.7406565018610838
BASELINE,biopmdt_to_biopsy,2026-02-26,2.966666666666667,1.6709141279516748
BASELINE,biopmdt_to_biopsy,2026-02-27,3.3,1.7645943169602119
BASELINE,biopmdt_to_biopsy,2026-02-28,3.4,1.830771459776188
BASELINE,biopmdt_to_biopsy,2026-03-01,3.433333333333333,1.5465943304527225
BASELINE,biopmdt_to_biopsy,2026-03-02,3.6,1.5447352189134953
BASELINE,biopmdt_to_biopsy,2026-03-03,3.8666666666666667,1.6344003083137535
BASELINE,biopmdt_to_biopsy,2026-03-04,4.033333333333333,1.5643293888377887
BASELINE,biopmdt_to_biopsy,2026-03-05,4.033333333333333,1.650148025404729
BASELINE,biopmdt_to_biopsy,2026-03-06,4.233333333333333,1.715715058195719
BASELINE,biopmdt_to_biopsy,2026-03-07,4.3,1.7049623314678062
BASELINE,biopmdt_to_biopsy,2026-03-08,4.533333333333333,1.960530071414244
BASELINE,biopmdt_to_biopsy,2026-03-09,4.833333333333333,2.1984843263788196
BASELINE,biopmdt_to_biopsy,2026-03-10,4.833333333333333,1.984132457573184
BASELINE,biopmdt_to_biopsy,2026-03-11,5.066666666666666,2.0998084203800236
BASELINE,biopmdt_to_biopsy,2026-03-12,5.233333333333333,2.269487764374084
BASELINE,biopmdt_to_biopsy,2026-03-13,5.433333333333334,2.459090571081433
BASELINE,biopmdt_to_biopsy,2026-03-14,5.433333333333334,2.358891225998341
BASELINE,biopmdt_to_biopsy,2026-03-15,5.566666666666666,2.3879486700041763
BASELINE,biopmdt_to_biopsy,2026-03-16,5.7,2.4934396682715914
BASELINE,biopmdt_to_biopsy,2026-03-17,5.766666666666667,2.402345597081338
BASELINE,biopmdt_to_biopsy,2026-03-18,5.9,2.4544119318147235
BASELINE,biopmdt_to_biopsy,2026-03-19,5.9,2.482351499187261
BASELINE,biopmdt_to_biopsy,2026-03-20,5.9,2.4403221946687905
BASELINE,biopmdt_to_biopsy,2026-03-21,5.933333333333334,2.4625937172201087
BASELINE,biopmdt_to_biopsy,2026-03-22,5.966666666666667,2.52550211236107
BASELINE,biopmdt_to_biopsy,2026-03-23,6.0,2.58643677139299
BASELINE,biopmdt_to_biopsy,2026-03-24,6.066666666666666,2.69012669017565
BASELINE,biopmdt_to_biopsy,2026-03-25,6.166666666666667,2.600839828996002
BASELINE,biopmdt_to_biopsy,2026-03-26,6.266666666666667,2.6513930409260835
BASELINE,biopmdt_to_biopsy,2026-03-27,6.2,2.708861575363857
BASELINE,biopmdt_to_biopsy,2026-03-28,6.133333333333334,2.738402924098761
BASELINE,biopmdt_to_biopsy,2026-03-29,6.2,2.708861575363857
BASELINE,biopmdt_to_biopsy,2026-03-30,6.3,2.601723566646038
BASELINE,biopmdt_to_biopsy,2026-03-31,6.266666666666667,2.558735319797968
BASELINE,biopmdt_to_biopsy,2026-04-01,6.366666666666666,2.7099221687936983
BASELINE,biopmdt_to_biopsy,2026-04-02,6.7,2.878577234772714
BASELINE,biopmdt_to_biopsy,2026-04-03,6.833333333333333,2.9370796348769965
BASELINE,biopmdt_to_biopsy,2026-04-04,6.866666666666666,2.8494806947731823
BASELINE,biopmdt_to_biopsy,2026-04-05,6.866666666666666,2.861556525236997
BASELINE,biopmdt_to_biopsy,2026-04-06,6.933333333333334,2.9353180328582775
BASELINE,biopmdt_to_biopsy,2026-04-07,7.166666666666667,2.717546222470626
BASELINE,biopmdt_to_biopsy,2026-04-08,7.066666666666666,2.6643668243529532
BASELINE,biopmdt_to_biopsy,2026-04-09,7.166666666666667,2.7302056678033884
BASELINE,biopmdt_to_biopsy,2026-04-10,7.166666666666667,2.5607559946952807
BASELINE,biopmdt_to_biopsy,2026-04-11,7.066666666666666,2.572176501335589
BASELINE,biopmdt_to_biopsy,2026-04-12,6.766666666666667,2.4450277952490094
BASELINE,biopmdt_to_biopsy,2026-04-13,6.533333333333333,2.38867057721168
BASELINE,biopmdt_to_biopsy,2026-04-14,6.633333333333334,2.592872635851427
BASELINE,biopmdt_to_biopsy,2026-04-15,6.466666666666667,2.542512107363887
BASELINE,biopmdt_to_biopsy,2026-04-16,6.566666666666666,2.6087826905353344
BASELINE,biopmdt_to_biopsy,2026-04-17,6.466666666666667,2.5425121073638866
BASELINE,biopmdt_to_biopsy,2026-04-18,6.533333333333333,2.528913264398479
BASELINE,biopmdt_to_biopsy,2026-04-19,6.566666666666666,2.4308836669612246
BASELINE,biopmdt_to_biopsy,2026-04-20,6.733333333333333,2.362542951017462
BASELINE,biopmdt_to_biopsy,2026-04-21,6.9,2.3245318401480475
BASELINE,biopmdt_to_biopsy,2026-04-22,6.766666666666667,2.445027795249009
BASELINE,biopmdt_to_biopsy,2026-04-23,6.566666666666666,2.621967323152247
BASELINE,biopmdt_to_biopsy,2026-04-24,6.733333333333333,2.6383554613110576
BASELINE,biopmdt_to_biopsy,2026-04-25,6.866666666666666,2.7634727444278155
BASELINE,biopmdt_to_biopsy,2026-04-26,6.7,2.731047544378379
BASELINE,biopmdt_to_biopsy,2026-04-27,6.633333333333334,2.6971675223608496
BASELINE,biopmdt_to_biopsy,2026-04-28,6.666666666666667,2.617360256564556
BASELINE,biopmdt_to_biopsy,2026-04-29,6.833333333333333,2.829442900366922
BASELINE,biopmdt_to_biopsy,2026-04-30,6.833333333333333,2.9720924166878344
BASELINE,biopmdt_to_biopsy,2026-05-01,6.833333333333333,3.217230907573107
BASELINE,biopmdt_to_biopsy,2026-05-02,7.1,3.1000556168537052
BASELINE,biopmdt_to_biopsy,2026-05-03,7.0,3.1731633297454733
BASELINE,biopmdt_to_biopsy,2026-05-04,7.1,3.1660919018617393
BASELINE,biopmdt_to_biopsy,2026-05-05,7.1,3.1111590034627907
BASELINE,biopmdt_to_biopsy,2026-05-06,7.066666666666666,2.887945616707051
BASELINE,biopmdt_to_biopsy,2026-05-07,6.933333333333334,2.851899951494325
BASELINE,biopmdt_to_biopsy,2026-05-08,6.9,2.8204915198938467
BASELINE,biopmdt_to_biopsy,2026-05-09,6.966666666666667,2.9417720830318834
BASELINE,biopmdt_to_biopsy,2026-05-10,6.933333333333334,2.8759805923921133
BASELINE,biopmdt_to_biopsy,2026-05-11,6.9,2.8082391095759145
BASELINE,biopmdt_to_biopsy,2026-05-12,7.033333333333333,2.632467484599053
BASELINE,biopmdt_to_biopsy,2026-05-13,7.0,2.5864367713929894
BASELINE,biopmdt_to_biopsy,2026-05-14,6.933333333333334,2.5988503205274722
BASELINE,biopmdt_to_biopsy,2026-05-15,6.733333333333333,2.2884015402012388
BASELINE,biopmdt_to_biopsy,2026-05-16,6.9,2.279594640311722
BASELINE,biopmdt_to_biopsy,2026-05-17,6.866666666666666,2.4173700918393815
BASELINE,biopmdt_to_biopsy,2026-05-18,6.833333333333333,2.4080802674978763
BASELINE,biopmdt_to_biopsy,2026-05-19,6.966666666666667,2.5795392977246436
BASELINE,biopmdt_to_biopsy,2026-05-20,6.966666666666667,2.632467484599053
BASELINE,biopmdt_to_biopsy,2026-05-21,7.1,2.771156860379359
BASELINE,biopmdt_to_biopsy,2026-05-22,7.1,2.8448380355085
BASELINE,biopmdt_to_biopsy,2026-05-23,7.166666666666667,2.972092416687834
BASELINE,biopmdt_to_biopsy,2026-05-24,7.0,2.9361010975735167
BASELINE,biopmdt_to_biopsy,2026-05-25,7.066666666666666,2.911728167178425
BASELINE,biopmdt_to_biopsy,2026-05-26,7.233333333333333,2.8729815503246354
BASELINE,biopmdt_to_biopsy,2026-05-27,7.166666666666667,2.792642221035957
BASELINE,biopmdt_to_biopsy,2026-05-28,7.266666666666667,2.740920224698435
BASELINE,biopmdt_to_biopsy,2026-05-29,7.166666666666667,2.960467499583799
BASELINE,biopmdt_to_biopsy,2026-05-30,7.333333333333333,2.963378004136884
BASELINE,biopmdt_to_biopsy,2026-05-31,7.2,2.721561417959209
BASELINE,biopmdt_to_biopsy,2026-06-01,7.1,2.7835724998765463
BASELINE,biopmdt_to_biopsy,2026-06-02,6.933333333333334,2.6901266901756506
BASELINE,biopmdt_to_biopsy,2026-06-03,6.966666666666667,2.592872635851427
BASELINE,biopmdt_to_biopsy,2026-06-04,7.0,2.5997347344787265
BASELINE,biopmdt_to_biopsy,2026-06-05,7.233333333333333,2.7377732372953343
BASELINE,biopmdt_to_biopsy,2026-06-06,7.066666666666666,2.7156422156974513
BASELINE,biopmdt_to_biopsy,2026-06-07,7.133333333333334,3.0708117912811366
BASELINE,biopmdt_to_biopsy,2026-06-08,6.9,3.100055616853705
BASELINE,biopmdt_to_biopsy,2026-06-09,6.966666666666667,2.988291327409572
BASELINE,biopmdt_to_biopsy,2026-06-10,7.0,2.936101097573517
BASELINE,biopmdt_to_biopsy,2026-06-11,7.033333333333333,2.8825675017766454
BASELINE,biopmdt_to_biopsy,2026-06-12,6.866666666666666,2.9680288749098875
BASELINE,biopmdt_to_biopsy,2026-06-13,6.866666666666666,3.0255615988615645
BASELINE,biopmdt_to_biopsy,2026-06-14,6.866666666666666,3.048270661045129
BASELINE,biopmdt_to_biopsy,2026-06-15,6.733333333333333,2.8639655812482645
BASELINE,biopmdt_to_biopsy,2026-06-16,6.9,2.795933006942467
BASELINE,biopmdt_to_biopsy,2026-06-17,6.766666666666667,2.7628487713469467
BASELINE,biopmdt_to_biopsy,2026-06-18,6.666666666666667,2.783366026375548
BASELINE,biopmdt_to_biopsy,2026-06-19,6.533333333333333,2.7759227522459593
BASELINE,biopmdt_to_biopsy,2026-06-20,6.566666666666666,2.896886953781336
BASELINE,biopmdt_to_biopsy,2026-06-21,6.733333333333333,2.875980592392114
BASELINE,biopmdt_to_biopsy,2026-06-22,6.866666666666666,2.9680288749098875
BASELINE,biopmdt_to_biopsy,2026-06-23,6.866666666666666,3.025561598861564
BASELINE,biopmdt_to_biopsy,2026-06-24,6.6,2.7618085029372605
BASELINE,biopmdt_to_biopsy,2026-06-25,6.733333333333333,2.9353180328582775
BASELINE,biopmdt_to_biopsy,2026-06-26,6.566666666666666,2.872981550324636
BASELINE,biopmdt_to_biopsy,2026-06-27,6.733333333333333,2.9470421563432665
BASELINE,biopmdt_to_biopsy,2026-06-28,6.433333333333334,2.920596695449624
BASELINE,biopmdt_to_biopsy,2026-06-29,6.366666666666666,2.7478309104898866
BASELINE,biopmdt_to_biopsy,2026-06-30,6.366666666666666,2.592872635851427
BASELINE,biopmdt_to_biopsy,2026-07-01,6.2,2.605034912731828
BASELINE,biopmdt_to_biopsy,2026-07-02,6.1,2.482351499187261
BASELINE,biopmdt_to_biopsy,2026-07-03,6.233333333333333,2.5418338931232083
BASELINE,biopmdt_to_biopsy,2026-07-04,6.333333333333333,2.643578209005067
BASELINE,biopmdt_to_biopsy,2026-07-05,6.433333333333334,2.555363977493473
BASELINE,biopmdt_to_biopsy,2026-07-06,6.466666666666667,2.6875618143118354
BASELINE,biopmdt_to_biopsy,2026-07-07,6.6,2.5407031337393793
BASELINE,biopmdt_to_biopsy,2026-07-08,6.5,2.3006745637477417
BASELINE,biopmdt_to_biopsy,2026-07-09,6.566666666666666,2.192201433818704
BASELINE,biopmdt_to_biopsy,2026-07-10,6.6,2.237609561948674
BASELINE,biopmdt_to_biopsy,2026-07-11,6.933333333333334,2.558735319797968
BASELINE,biopmdt_to_biopsy,2026-07-12,7.0,2.491364395612199
BASELINE,biopmdt_to_biopsy,2026-07-13,6.9,2.6043729803332036
BASELINE,biopmdt_to_biopsy,2026-07-14,6.833333333333333,2.600839828996002
BASELINE,biopmdt_to_biopsy,2026-07-15,6.8,2.845444029345496
BASELINE,biopmdt_to_biopsy,2026-07-16,6.733333333333333,2.6513930409260835
BASELINE,biopmdt_to_biopsy,2026-07-17,6.766666666666667,2.6997232723237463
BASELINE,biopmdt_to_biopsy,2026-07-18,6.866666666666666,2.8494806947731828
BASELINE,biopmdt_to_biopsy,2026-07-19,7.1,2.892916437998405
BASELINE,biopmdt_to_biopsy,2026-07-20,7.066666666666666,2.8759805923921133
BASELINE,biopmdt_to_biopsy,2026-07-21,7.3,2.9142929585537316
BASELINE,biopmdt_to_biopsy,2026-07-22,7.333333333333333,2.868777624262861
BASELINE,biopmdt_to_biopsy,2026-07-23,7.533333333333333,2.8735816091365516
BASELINE,biopmdt_to_biopsy,2026-07-24,7.6,2.8113072183349277
BASELINE,biopmdt_to_biopsy,2026-07-25,7.633333333333334,2.747830910489886
BASELINE,biopmdt_to_biopsy,2026-07-26,7.7,2.7934652809480323
BASELINE,biopmdt_to_biopsy,2026-07-27,7.633333333333334,2.8221211554594805
BASELINE,biopmdt_to_biopsy,2026-07-28,7.466666666666667,2.825174188506312
BASELINE,biopmdt_to_biopsy,2026-07-29,7.333333333333333,2.7584770077524388
BASELINE,biopmdt_to_biopsy,2026-07-30,7.3,2.961243913837795
BASELINE,biopmdt_to_biopsy,2026-07-31,7.3,3.086678831186774
BASELINE,biopmdt_to_biopsy,2026-08-01,7.566666666666666,3.0702502799623996
BASELINE,biopmdt_to_biopsy,2026-08-02,7.133333333333334,2.909358660614389
BASELINE,biopmdt_to_biopsy,2026-08-03,7.0,2.924333109946785
BASELINE,biopmdt_to_biopsy,2026-08-04,6.8,2.8088529994312252
BASELINE,biopmdt_to_biopsy,2026-08-05,6.8,2.5784250739684027
BASELINE,biopmdt_to_biopsy,2026-08-06,6.633333333333334,2.552663697791581
BASELINE,biopmdt_to_biopsy,2026-08-07,6.733333333333333,2.448551061107482
BASELINE,biopmdt_to_biopsy,2026-08-08,7.033333333333333,2.632467484599053
BASELINE,biopmdt_to_biopsy,2026-08-09,7.1,2.708225019938463
BASELINE,biopmdt_to_biopsy,2026-08-10,6.733333333333333,2.362542951017462
BASELINE,biopmdt_to_biopsy,2026-08-11,7.0,2.289405885889356
BASELINE,biopmdt_to_biopsy,2026-08-12,7.066666666666666,2.2732831086237417
BASELINE,biopmdt_to_biopsy,2026-08-13,7.0,2.2283440581246223
BASELINE,biopmdt_to_biopsy,2026-08-14,6.933333333333334,2.4344274032324718
BASELINE,biopmdt_to_biopsy,2026-08-15,7.2,2.3982752423212466
BASELINE,biopmdt_to_biopsy,2026-08-16,7.133333333333334,2.445732854463524
BASELINE,biopmdt_to_biopsy,2026-08-17,7.2,2.3400559969721915
BASELINE,biopmdt_to_biopsy,2026-08-18,7.2,2.1399323224876965
BASELINE,biopmdt_to_biopsy,2026-08-19,7.166666666666667,2.150915335760381
BASELINE,biopmdt_to_biopsy,2026-08-20,7.133333333333334,2.1291625896895083
BASELINE,biopmdt_to_biopsy,2026-08-21,7.266666666666667,2.0160277319749236
BASELINE,biopmdt_to_biopsy,2026-08-22,7.233333333333333,2.2078751422302307
BASELINE,biopmdt_to_biopsy,2026-08-23,7.166666666666667,2.182743186014322
BASELINE,biopmdt_to_biopsy,2026-08-24,7.033333333333333,2.311639712610843
BASELINE,biopmdt_to_biopsy,2026-08-25,7.066666666666666,2.5988503205274727
BASELINE,biopmdt_to_biopsy,2026-08-26,7.233333333333333,2.5822114731280283
BASELINE,biopmdt_to_biopsy,2026-08-27,7.166666666666667,2.7048275275926534
BASELINE,biopmdt_to_biopsy,2026-08-28,7.066666666666666,2.7029145614385928
BASELINE,biopmdt_to_biopsy,2026-08-29,6.933333333333334,2.7156422156974513
BASELINE,biopmdt_to_biopsy,2026-08-30,6.9,2.354013447358538
BASELINE,biopmdt_to_biopsy,2026-08-31,7.066666666666666,2.3770937534400445
BASELINE,biopmdt_to_biopsy,2026-09-01,7.233333333333333,2.387948670004176
BASELINE,biopmdt_to_biopsy,2026-09-02,7.433333333333334,2.555363977493474
BASELINE,biopmdt_to_biopsy,2026-09-03,7.6,2.513412297914997
BASELINE,biopmdt_to_biopsy,2026-09-04,7.633333333333334,2.684352273163264
BASELINE,biopmdt_to_biopsy,2026-09-05,7.4,2.786667766594954
BASELINE,biopmdt_to_biopsy,2026-09-06,7.166666666666667,2.6403152023605228
BASELINE,biopmdt_to_biopsy,2026-09-07,7.233333333333333,2.555363977493473
BASELINE,biopmdt_to_biopsy,2026-09-08,7.133333333333334,2.3741907272153604
BASELINE,biopmdt_to_biopsy,2026-09-09,7.0,2.4494897427831783
BASELINE,biopmdt_to_biopsy,2026-09-10,7.033333333333333,2.1732437750393134
BASELINE,biopmdt_to_biopsy,2026-09-11,7.166666666666667,2.118609389936341
BASELINE,biopmdt_to_biopsy,2026-09-12,7.133333333333334,1.9953970019528189
BASELINE,biopmdt_to_biopsy,2026-09-13,6.966666666666667,1.9025089303036289
BASELINE,biopmdt_to_biopsy,2026-09-14,7.033333333333333,2.0423673439947305
BASELINE,biopmdt_to_biopsy,2026-09-15,6.933333333333334,2.1485092399203194
BASELINE,biopmdt_to_biopsy,2026-09-16,6.866666666666666,2.1129050655654065
BASELINE,biopmdt_to_biopsy,2026-09-17,6.733333333333333,2.0667037445691374
BASELINE,biopmdt_to_biopsy,2026-09-18,6.733333333333333,2.1961303480775283
BASELINE,biopmdt_to_biopsy,2026-09-19,6.766666666666667,2.387948670004176
BASELINE,biopmdt_to_biopsy,2026-09-20,6.833333333333333,2.320572660199281
BASELINE,biopmdt_to_biopsy,2026-09-21,6.833333333333333,2.4080802674978763
BASELINE,biopmdt_to_biopsy,2026-09-22,6.633333333333334,2.4842029642958106
BASELINE,biopmdt_to_biopsy,2026-09-23,6.666666666666667,2.564120247507546
BASELINE,biopmdt_to_biopsy,2026-09-24,6.333333333333333,2.5641202475075464
BASELINE,biopmdt_to_biopsy,2026-09-25,6.3,2.4516004624706302
BASELINE,biopmdt_to_biopsy,2026-09-26,6.366666666666666,2.399473122243259
BASELINE,biopmdt_to_biopsy,2026-09-27,6.433333333333334,2.3734644158557194
BASELINE,biopmdt_to_biopsy,2026-09-28,6.466666666666667,2.1772068999195895
BASELINE,biopmdt_to_biopsy,2026-09-29,6.233333333333333,2.2846313115872894
BASELINE,biopmdt_to_biopsy,2026-09-30,6.266666666666667,2.3034207445529318
BASELINE,biopmdt_to_biopsy,2026-10-01,6.3,2.465625751168978
BASELINE,biopmdt_to_biopsy,2026-10-02,6.4,2.4858218650634614
BASELINE,biopmdt_to_biopsy,2026-10-03,6.433333333333334,2.5282314021838483
BASELINE,biopmdt_to_biopsy,2026-10-04,6.333333333333333,2.7957274463049844
BASELINE,biopmdt_to_biopsy,2026-10-05,6.433333333333334,2.7377732372953343
BASELINE,biopmdt_to_biopsy,2026-10-06,6.7,2.479571709402445
BASELINE,biopmdt_to_biopsy,2026-10-07,6.433333333333334,2.176414852273206
BASELINE,biopmdt_to_biopsy,2026-10-08,6.5,2.208916101808212
BASELINE,biopmdt_to_biopsy,2026-10-09,6.6,2.3430013172027437
BASELINE,biopmdt_to_biopsy,2026-10-10,6.666666666666667,2.309401076758503
BASELINE,biopmdt_to_biopsy,2026-10-11,6.866666666666666,2.2550071998253944
BASELINE,biopmdt_to_biopsy,2026-10-12,6.933333333333334,2.258063456750639
BASELINE,biopmdt_to_biopsy,2026-10-13,6.9,2.2026629651244956
BASELINE,biopmdt_to_biopsy,2026-10-14,7.0,2.4913643956121994
BASELINE,biopmdt_to_biopsy,2026-10-15,6.866666666666666,2.4315928273789837
BASELINE,biopmdt_to_biopsy,2026-10-16,6.933333333333334,2.362542951017462
BASELINE,biopmdt_to_biopsy,2026-10-17,6.9,2.368616648507353
BASELINE,biopmdt_to_biopsy,2026-10-18,6.966666666666667,2.48420296429581
BASELINE,biopmdt_to_biopsy,2026-10-19,6.833333333333333,2.6403152023605236
BASELINE,biopmdt_to_biopsy,2026-10-20,6.766666666666667,2.7377732372953343
BASELINE,biopmdt_to_biopsy,2026-10-21,6.8,2.746784954488956
BASELINE,biopmdt_to_biopsy,2026-10-22,6.666666666666667,2.8567323186168294
BASELINE,biopmdt_to_biopsy,2026-10-23,6.766666666666667,2.872981550324636
BASELINE,biopmdt_to_biopsy,2026-10-24,6.7,2.902436550733621
BASELINE,biopmdt_to_biopsy,2026-10-25,6.733333333333333,3.039207398187133
BASELINE,biopmdt_to_biopsy,2026-10-26,6.6,2.823546315027159
BASELINE,biopmdt_to_biopsy,2026-10-27,6.433333333333334,2.7251489466833174
BASELINE,biopmdt_to_biopsy,2026-10-28,6.633333333333334,2.6714755490543802
BASELINE,biopmdt_to_biopsy,2026-10-29,6.8,2.605034912731828
BASELINE,biopmdt_to_biopsy,2026-10-30,6.8,2.5917641442288577
BASELINE,biopmdt_to_biopsy,2026-10-31,7.033333333333333,2.6324674845990526
BASELINE,biopmdt_to_biopsy,2026-11-01,7.1,2.5373078320303897
BASELINE,biopmdt_to_biopsy,2026-11-02,7.033333333333333,2.6843522731632636
BASELINE,biopmdt_to_biopsy,2026-11-03,7.0,2.791613054897806
BASELINE,biopmdt_to_biopsy,2026-11-04,6.966666666666667,2.7226170641794116
BASELINE,biopmdt_to_biopsy,2026-11-05,7.0,2.690981105534713
BASELINE,biopmdt_to_biopsy,2026-11-06,6.9,2.53730783203039
BASELINE,biopmdt_to_biopsy,2026-11-07,6.833333333333333,2.5472545509089657
BASELINE,biopmdt_to_biopsy,2026-11-08,6.866666666666666,2.635740206617793
BASELINE,biopmdt_to_biopsy,2026-11-09,6.766666666666667,2.68692021278732
BASELINE,biopmdt_to_biopsy,2026-11-10,6.733333333333333,2.5988503205274727
BASELINE,biopmdt_to_biopsy,2026-11-11,6.933333333333334,2.790789448727087
BASELINE,biopmdt_to_biopsy,2026-11-12,6.8,2.696101911508795
BASELINE,biopmdt_to_biopsy,2026-11-13,6.933333333333334,2.740920224698435
BASELINE,biopmdt_to_biopsy,2026-11-14,6.733333333333333,2.728310495695008
BASELINE,biopmdt_to_biopsy,2026-11-15,6.866666666666666,2.7883171705668923
BASELINE,biopmdt_to_biopsy,2026-11-16,7.033333333333333,2.5928726358514265
BASELINE,biopmdt_to_biopsy,2026-11-17,7.1,2.6697539599926716
BASELINE,biopmdt_to_biopsy,2026-11-18,7.166666666666667,2.533681161844374
BASELINE,biopmdt_to_biopsy,2026-11-19,7.0,2.639226636986545
BASELINE,biopmdt_to_biopsy,2026-11-20,7.066666666666666,2.5855478087369357
BASELINE,biopmdt_to_biopsy,2026-11-21,7.066666666666666,2.6513930409260835
BASELINE,biopmdt_to_biopsy,2026-11-22,7.2,2.578425073968403
BASELINE,biopmdt_to_biopsy,2026-11-23,7.233333333333333,2.6350859873862826
BASELINE,biopmdt_to_biopsy,2026-11-24,7.133333333333334,2.47377044809842
BASELINE,biopmdt_to_biopsy,2026-11-25,7.066666666666666,2.490441497119479
BASELINE,biopmdt_to_biopsy,2026-11-26,7.1,2.53730783203039
BASELINE,biopmdt_to_biopsy,2026-11-27,6.9,2.482351499187261
BASELINE,biopmdt_to_biopsy,2026-11-28,6.833333333333333,2.3501039350946002
BASELINE,biopmdt_to_biopsy,2026-11-29,6.833333333333333,2.30566518688707
BASELINE,biopmdt_to_biopsy,2026-11-30,7.1,2.3686166485073534
BASELINE,biopmdt_to_biopsy,2026-12-01,7.133333333333334,2.3004247483863725
BASELINE,biopmdt_to_biopsy,2026-12-02,7.1,2.122945254057235
BASELINE,biopmdt_to_biopsy,2026-12-03,7.066666666666666,2.083321839048751
BASELINE,biopmdt_to_biopsy,2026-12-04,7.066666666666666,2.0499509385774854
BASELINE,biopmdt_to_biopsy,2026-12-05,6.933333333333334,1.8742048122232848
BASELINE,biopmdt_to_biopsy,2026-12-06,6.666666666666667,1.8257418583505536
BASELINE,biopmdt_to_biopsy,2026-12-07,6.7,2.0535923108811893
BASELINE,biopmdt_to_biopsy,2026-12-08,6.733333333333333,2.033060090930254
BASELINE,biopmdt_to_biopsy,2026-12-09,6.766666666666667,2.01174711054387
